source,destination,language,status_code
/academics/academic-support/arcc/navigate/,/offices-services/advising-retention-career-center/advising/navigate,en,301
/affirmative-action/,/offices-services/affirmative-action-office,en,301
/affirmative-action/title-ix/complaints-against-university-employees-other-than-faculty-academic-staff/,/offices-services/affirmative-action-office/title-ix/uw-eau-claire-sexual-violence-and-sexual/policy,en,301
/affirmative-action/title-ix/pregnant-expecting-parenting-students/,/offices-services/affirmative-action-office/title-ix/pregnant-expecting-and-parenting-students,en,301
/affirmative-action/title-ix/,/offices-services/affirmative-action-office/title-ix,en,301
/affirmative-action/title-ix/uw-eau-claire-sexual-violence-sexual-harassment-policy/,/offices-services/affirmative-action-office/title-ix/uw-eau-claire-sexual-violence-and-sexual,en,301
/affirmative-action/public-records/,/offices-services/wisconsin-public-records-law,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/about/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/careers-alumni/,/american-indian-studies-program/where-ais-graduates-are-now,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/cultural-immersion/,/american-indian-studies-program/ais-cultural-experiences,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/about/faculty-staff/,/american-indian-studies-program/ais-faculty-and-staff,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/internships/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/research/,/american-indian-studies-program/ais-research,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/scholarships/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/student-organizations/,/american-indian-studies-program/inter-tribal-student-council,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/explore-opportunities/study-abroad-national-student-exchange/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/academic-offerings/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/contact-us/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/about/history-american-indian-studies/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/about/native-american-heritage-month/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-arts-sciences/departments-programs/american-indian-studies/about/title-7-act-31/,/academics/college-arts-and-sciences/departments-programs/american-indian-studies-program,en,301
/academics/college-business/departments-programs/army-rotc/,/academics/college-business/departments-programs/army-rotc-program,en,301
/academics/college-arts-sciences/departments-programs/art-design/about/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/about/faculty-staff/,/art-and-design-department/art-and-design-faculty-and-staff,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/scholarships/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/academic-offerings/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/careers-alumni/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/internships/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/student-organizations/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/contact-us/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/foster-gallery/exhibit-archive/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/field-studies/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/academics/college-arts-sciences/departments-programs/art-design/foster-gallery/,/art-and-design-department/ruth-foster-art-gallery,en,301
/academics/college-arts-sciences/departments-programs/art-design/explore-opportunities/study-abroad-national-student-exchange/,/academics/college-arts-and-sciences/departments-programs/art-and-design-department,en,301
/athletics/,/blugold-life/athletics-sports-uwec,en,301
/academics/college-arts-sciences/departments-programs/biology/about/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
/academics/college-arts-sciences/departments-programs/biology/academic-offerings/,/academics/college-arts-and-sciences/departments-programs/biology-department,en,301
